State,MV.Percent,MV.Number
Alabama,38.7,78
Arizona,31.7,145
Arkansas,36.2,46
California,30.8,722
Colorado,33,77
Connecticut,36.7,40
Delaware,28.7,30
District of Columbia,28.6,5
Florida,36.9,579
Georgia,37,176
Idaho,33.7,15
Illinois,38.8,163
Indiana,42.6,74
Iowa,40.3,23
Kansas,38.6,32
Kentucky,35.7,56
Louisiana,33.9,134
Maine,37.1,10
Maryland,39.7,96
Massachusetts,25.2,86
Michigan,42.6,139
Minnesota,42.7,45
Mississippi,31,52
Missouri,34,86
Montana,24,8
Nebraska,42.1,14
Nevada,31.1,54
New Hampshire,30.7,9
New Jersey,31.6,160
New Mexico,31.1,65
New York,33.5,332
North Carolina,33.8,216
North Dakota,44.9,8
Ohio,42.1,121
Oklahoma,35.4,69
Oregon,33.8,69
Pennsylvania,36.3,171
Rhode Island,30.6,6
South Carolina,35.2,123
South Dakota,38.1,2
Tennessee,37.1,65
Texas,38.3,495
Utah,31,32
Vermont,28.6,9
Virginia,29.9,105
Washington,36.2,84
West Virginia,32.1,30
Wisconsin,36.6,49
Wyoming,33.9,6
