state,perc_collisions,no_collisions,code
Alabama,38.7,78,AL
Arizona,31.7,145,AZ
Arkansas,36.2,46,AR
California,30.8,722,CA
Colorado,33.0,77,CO
Connecticut,36.7,40,CT
Delaware,28.7,30,DE
District of Columbia,28.6,5,DC
Florida,36.9,579,FL
Georgia,37.0,176,GA
Idaho,33.7,15,ID
Illinois,38.8,163,IL
Indiana,42.6,74,IN
Iowa,40.3,23,IA
Kansas,38.6,32,KS
Kentucky,35.7,56,KY
Louisiana,33.9,134,LA
Maine,37.1,10,ME
Maryland,39.7,96,MD
Massachusetts,25.2,86,MA
Michigan,42.6,139,MI
Minnesota,42.7,45,MN
Mississippi,31.0,52,MS
Missouri,34.0,86,MO
Montana,24.0,8,MT
Nebraska,42.1,14,NE
Nevada,31.1,54,NV
New Hampshire,30.7,9,NH
New Jersey,31.6,160,NJ
New Mexico,31.1,65,NM
New York,33.5,332,NY
North Carolina,33.8,216,NC
North Dakota,44.9,8,ND
Ohio,42.1,121,OH
Oklahoma,35.4,69,OK
Oregon,33.8,69,OR
Pennsylvania,36.3,171,PA
Rhode Island,30.6,6,RI
South Carolina,35.2,123,SC
South Dakota,38.1,2,SD
Tennessee,37.1,65,TN
Texas,38.3,495,TX
Utah,31.0,32,UT
Vermont,28.6,9,VT
Virginia,29.9,105,VA
Washington,36.2,84,WA
West Virginia,32.1,30,WV
Wisconsin,36.6,49,WI
Wyoming,33.9,6,WY
